Location 1 (region/city),Location 2 (town/district),Location 3 (address),"Co-ordinates (latitude, longitude)",Lat,Lng,people,Year,Date,Description,Source,Comments 
Aberdeen,Stoneywood,,"57.191360, 
-2-222570",57.191360,"
-2-222570","Miss Coutts, Miss Jackson",1914,1914-01-14,"Address on ""Co-Partners - Women's Position in the State"" by a member of the Aberdeen University Suffrage Association. Reported in Aberdeen Press and Journal 16 January 1914.",BNA,
Aberdeen,Torry,Menzies Road,"57.137045, -2.090938",57.137045,-2.090938,Mary Phillips,1908,Unclear,Meeting held by the WSPU in April 1908 during the Kincardineshire by election.,,
Aberdeen,,Ashley Road Public School,"57.138418, 
-2.122905",57.138418,"
-2.122905",Unnamed,1913,1913-05-03,School damaged by fire believed to have been set by suffragettes. Reported in The Scotsman 05 May 1913. And in Aberdeen Press and Journal 05 May 1913.,BNA,Still in use as a primary school
Aberdeen,,7 Bon-Accord Street,"57.144167, -2.106552",57.144167,-2.106552,Lilias Mitchell,1912,Unclear,WSPU had rooms at this address in 1912.,,
Aberdeen,,Broad Hill,"57.159290, 
-2.131480",57.159290,"
-2.131480",Miss Fogge,1914,1914-06-07,"Address on the question ""Will votes for women help to solve social questions?"". Reported in Aberdeen Evening Express 09 June 1914. Also in Aberdeen Press and Journal 09 June 1914.",BNA,
Aberdeen,,Broad Street,"57.148183, -2.096097",57.148183,-2.096097,Caroline Phillips,1907-1909,Unclear,Offices of the Aberdeen Daily Journal (where Phillips was a journalist) were used as the postal address of the Aberdeen branch of the WSPU.,,
Aberdeen,,Castle Street,"57.147910, 
-2.093810",57.147910,"
-2.093810","Dr Lyons, Dr Wilson, Mrs Findlayson",1914,1914-07-30,Open air meeting dealing with forcible feeding. Reported in Aberdeen Evening Express 31 July 1914. Also in Aberdeen Press and Journal 31 July 1914.,BNA,
Aberdeen,,Castlegate,"57.147480, 
-2.095400",57.147480,"
-2.095400",Sir Victor Horsley,1914,Unclear,Open air meeting for an address by a well-known surgeon condemning the forde feeding of women prisoners. Reported in Aberdeen Press and Journal 28 July 1914. Also in Aberdeen Evening Express 28 July 1914.,BNA,
Aberdeen,,"The Queen's Cinema, 120 Union Street","57.146311, -2.099830",57.146311,-2.099830,None named,1914,1914-02-04,"Demonstration by hissing, stamping feet and other actions against a film entitled ""Asta Neilson as a Suffragette"" which included scenes of force feeding in prison. Reported in Aberdeen Press and Journal 06 February 1914. [Asta Neilsen was a Danish silent moive star of the 1910s, the film may have been A Militant Suffragette / The Suffragette (1913)]",BNA,
Aberdeen,,11a Dee Street,"57.144425, -2.104337",57.144425,-2.104337,None named,1914,Unclear,Offices of the Aberdeen Association for Women's Suffrage.,,
Aberdeen,,Duthie Park,"57.130640, 
-2.110900",57.130640,"
-2.110900",Unnamed,1913,1913-04-08,"Vandalism by suffragette(s) who cut the words ""Release Mrs Pankhurst"" into a lawn, and painted ""Votes for Women"" on the Palmhouse. Reported in Aberdeen Press and Journal 09 April 1913.",BNA,
Aberdeen,,Exchange Street,"57.145700, 
-2.097020",57.145700,"
-2.097020",Miss Gawthorpe ,1908,1908-04-17,Address to a crowd of 2-300 farmers. Reported in Dundee Courier 18 April 1908.,BNA,
Aberdeen,,"Fish Market, Commercial Quay","57.143842, -2.089903",57.143842,-2.089903,Mary Molony,1908,1908-04-17,Women's Freedom League address.,,
Aberdeen,,Forest Avenue and Salisbury Terrace,"57.135602, -2.127283",57.135602,-2.127283,None named,1913,1913-04-09,"Post boxes contaminated with thick black liquid containg sawdust, suffragettes suspected.",,
Aberdeen,,Fountainhall Road,"57.144883, -2.128102",57.144883,-2.128102,None named,1913,1913-03-01,"Post box contaminated with black ink, assumed to be caused by suffragettes.",,
Aberdeen,,HM Prison Aberdeen (referred to as Craiginches in the report),"57.133580, 
-2.089080",57.133580,"
-2.089080",Unnamed,1912,Unclear,"Four imprisoned suffragettes carrying out their threat in court (on 03 December 1912) to protest in prison, mainly by hunger strike. Reported in Dundee Evening Telegraph 05 December 1912. Also in Dundee Courier 06 December 1912.",BNA,
Aberdeen,,Joint Passenger Station (on board a Caledonian train),"57.144910, 
-2.097210",57.144910,"
-2.097210",Mary Brown alias Emily Wilding Davison,1912,1912-11-30,Suffragette appeared in court charged with assaulting Rev. Forbes Jackson with a whip in the mistaken belief that he was Mr Llyd George. Reported in Aberdeen Press and Journal 02 December 1912. Also in Dundee Evening Telegraph 06 December 1912.,BNA,
Aberdeen,,Kenneway's Hall,"57,
-2",57,-2,Mrs Despard,1917,1917-10-10,"Address on ""The Hidden Worlds"". This seems to be one of a series of four delivered under the auspices of the Theosophical Society. Reported in Aberdeen Evening Express 11 October 1917.",,
Aberdeen,,Marischal College,"57.148821, 
-2.097135",57.148821,"
-2.097135","Miss Gawthorpe, Miss Helen Fraser, Miss MA Dunn",1908,1908-05-16,"Disruption by (male) students of a meeting held by the Aberdeen University Woman (sic) Suffrage Association. Despite frequent interruptions, including the use of hydrogen sulphide, the speakers completed their addresses. Reported in Aberdeen Press and Journal 18 May 1908. Also in The Scotsman 18 May 1908, Stonehaven Journal 21 May 1908 and Aberdeen People's Journal 23 May 1908. ",BNA,
Aberdeen,,"Mechanics Hall, possibly Market Street (Mechanics Institute)","57.146296, 
-2.096776",57.146296,"
-2.096776","Miss Ueedy, St. Louis, USA; Baillie Urquhart; Professor and Mrs Bain; Professor and Mrs Struthers ; Miss M’Combie; Bailie Esslemont; Mr James Ross; Rev. Mr M‘Kay;  Rev. Mr Fairbairn; Mr Duguid Milne; Mr W. Minto; Mr A. S. Cook; Mr William Clark",1872,1872-12-16,Lecture on Women's Suffrage in its Educational and Industrial Aspects. Reported by Aberdeen Press & Journal 18 December 1872,,
Aberdeen,,Music Hall,"57.145115, 
-2.104694",57.145115,"
-2.104694","Emmeline Pankhurst, Caroline Phillips",1907,Unclear,Liberal Party meeting in December 1907 disrupted by suffragettes.,,
Aberdeen,,Music Hall,"57.145115, 
-2.104694",57.145115,"
-2.104694",Mrs Pankhurst,1909,1909-03-06,Address to the Aberdeen Women's Social and Political Union. In a speech given at the Town House in 2018.,Sarah Pedersen,
Aberdeen,,Music Hall,"57.145115, 
-2.104694",57.145115,"
-2.104694","Marion Pollock, Fanny Parker, Joyce Locke",1912,Unclear,"Three suffragettes discovered concealed in the Music Hall before a speech to be made by Lloyd George in November 1912. They were described as possessing bombs, but they were in fact explosive caps from toy guns.",,
